,Indicator_Code,Indicator_Name,Indicator_URL,Year,Start_Year,End_Year,Region_Code,Region,Country_Code,Country,Dimension_Type,Dimension_Code,Dimension_Name,Numeric_Value,Value,Low,High,Rescaled_Value
23,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2019,2019,2019,WPR,Western Pacific,AUS,Australia,,,,46768.0,46 768,,,92.90240559384995
186,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2003,2003,2003,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,58359.61,58360 [47821-71740],47820.94,71739.89,39.801977699558535
188,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,191816.0,191 816,,,53.98219130278162
247,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2009,2009,2009,WPR,Western Pacific,AUS,Australia,,,,33815.0,33 815,,,67.17188772571066
289,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2006,2006,2006,WPR,Western Pacific,AUS,Australia,,,,58167.0,58 167,,,56.36555680452731
352,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2010,2010,2010,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,128272.4,128272 [97098-166700],97098.07,166700.2,87.48336742258648
524,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2013,2013,2013,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,68730.7,68731 [53583-88834],53582.74,88834.48,46.875189684698846
627,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2002,2002,2002,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,59228.95,59229 [48772-72271],48771.52,72271.44,40.39487835967834
702,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2003,2003,2003,WPR,Western Pacific,AUS,Australia,,,,22692.0,22 692,,,45.07657773981447
710,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2018,2018,2018,WPR,Western Pacific,AUS,Australia,,,,45820.0,45 820,,,91.01924872370434
750,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2020,2020,2020,WPR,Western Pacific,AUS,Australia,,,,341242.0,341 242,,,96.03469431404996
909,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2009,2009,2009,WPR,Western Pacific,AUS,Australia,,,,220814.0,220 814,,,67.12038956538655
997,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1992,1992,1992,WPR,Western Pacific,AUS,Australia,,,,41461.0,41 461,,,40.17694484282337
1119,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1976,1976,1976,WPR,Western Pacific,AUS,Australia,,,,23034.0,23 034,,,22.32063258265824
1253,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,292015.0,292 015,,,82.1808899845778
1453,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1988,1988,1988,WPR,Western Pacific,AUS,Australia,,,,191800.0,191 800,,,53.977688471626536
1558,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2000,2000,2000,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,57714.25,57714 [48002-69631],48001.64,69630.75,39.361834176869
1858,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1981,1981,1981,WPR,Western Pacific,AUS,Australia,,,,147900.0,147 900,,,44.956866941048446
2046,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2022,2022,2022,WPR,Western Pacific,AUS,Australia,,,,3477.0,3477,,,2.403035413153457
2140,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2016,2016,2016,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,73825.48,73825 [55758-98148],55757.53,98147.9,50.34989282175128
2143,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2001,2001,2001,WPR,Western Pacific,AUS,Australia,,,,20573.0,20 573,,,40.86728511551221
2172,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1981,1981,1981,WPR,Western Pacific,AUS,Australia,,,,147900.0,147 900,,,41.62304548985175
2174,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2018,2018,2018,WPR,Western Pacific,AUS,Australia,,,,93604.0,93 604,,,90.70506608783286
2202,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2019,2019,2019,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,146624.9,146625 [101991-205062],101991.4,205062.2,100.0
2290,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2012,2012,2012,WPR,Western Pacific,AUS,Australia,,,,34895.0,34 895,,,69.31725631195248
2565,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2012,2012,2012,WPR,Western Pacific,AUS,Australia,,,,232321.0,232 321,,,65.38138979883603
