Indicator_Name,Year,Rescaled_Value
Medical doctors (number),1970,16.17989069343773
Medical doctors (number),1971,16.013217566572347
Medical doctors (number),1972,17.800108531338424
Medical doctors (number),1973,17.660568239079034
Medical doctors (number),1974,18.857320051164773
Medical doctors (number),1975,19.888367766192488
Medical doctors (number),1976,22.32063258265824
Medical doctors (number),1977,22.681111670994998
Medical doctors (number),1978,25.767471607426646
Medical doctors (number),1979,25.01259738749564
Medical doctors (number),1980,26.31884956781271
Medical doctors (number),1981,26.85181596185899
Medical doctors (number),1982,27.928408077832472
Medical doctors (number),1983,29.028256909182527
Medical doctors (number),1984,27.64060622504748
Medical doctors (number),1985,29.233691228342185
Medical doctors (number),1986,31.141710919027872
Medical doctors (number),1987,32.456684367611146
Medical doctors (number),1988,33.68638319314702
Medical doctors (number),1989,34.83759060428699
Medical doctors (number),1990,35.84538160393814
Medical doctors (number),1991,39.09841466723517
Medical doctors (number),1992,40.17694484282337
Medical doctors (number),1993,40.98996085119578
Medical doctors (number),1994,42.059769758517774
Medical doctors (number),1995,43.20225590139153
Medical doctors (number),1996,42.40086825070739
Medical doctors (number),1997,42.8253033063297
Medical doctors (number),1998,43.300127911934574
Medical doctors (number),1999,44.574402108608865
Medical doctors (number),2000,45.90488003410985
Medical doctors (number),2001,47.86232024497073
Medical doctors (number),2002,48.349742238071244
Medical doctors (number),2003,50.21415558742587
Medical doctors (number),2004,52.294662583821086
Medical doctors (number),2005,54.34706771580294
Medical doctors (number),2006,56.36555680452731
Medical doctors (number),2007,60.71165549052289
Medical doctors (number),2008,62.131284158300716
Medical doctors (number),2009,65.51901236482034
Medical doctors (number),2010,71.76731656265747
Medical doctors (number),2011,71.80510872514438
Medical doctors (number),2012,72.9262762122563
Medical doctors (number),2013,75.55913019884491
Medical doctors (number),2014,78.4604054420714
Medical doctors (number),2015,80.90429861622543
Medical doctors (number),2016,83.86952982673746
Medical doctors (number),2017,87.6167680917865
Medical doctors (number),2018,90.70506608783286
Medical doctors (number),2019,94.03368347610372
Medical doctors (number),2020,97.15492848560021
Medical doctors (number),2021,100.0
Number of pigs in the country,2016,92.91870050477272
Number of pigs in the country,2020,100.0
Nursing and midwifery personnel  (number),1980,42.72061058390463
Nursing and midwifery personnel  (number),1981,41.62304548985175
Nursing and midwifery personnel  (number),1982,42.07332860536062
Nursing and midwifery personnel  (number),1983,42.74875327862394
Nursing and midwifery personnel  (number),1984,43.45232064660655
Nursing and midwifery personnel  (number),1985,42.411040941992276
Nursing and midwifery personnel  (number),1986,49.24971575878334
Nursing and midwifery personnel  (number),1987,52.06398523071382
Nursing and midwifery personnel  (number),1988,53.977688471626536
Nursing and midwifery personnel  (number),1989,55.441108597030386
Nursing and midwifery personnel  (number),1990,55.863249017819946
Nursing and midwifery personnel  (number),1991,58.76194657390834
Nursing and midwifery personnel  (number),1992,56.932671417153536
Nursing and midwifery personnel  (number),1993,55.08566636272556
Nursing and midwifery personnel  (number),1994,57.62160458388211
Nursing and midwifery personnel  (number),1995,54.91202593630745
Nursing and midwifery personnel  (number),1996,58.638118717143406
Nursing and midwifery personnel  (number),1997,53.98219130278162
Nursing and midwifery personnel  (number),1998,53.924498778607045
Nursing and midwifery personnel  (number),1999,53.866524827485286
Nursing and midwifery personnel  (number),2000,53.91239741987774
Nursing and midwifery personnel  (number),2001,57.23661252012203
Nursing and midwifery personnel  (number),2002,54.55545799421386
Nursing and midwifery personnel  (number),2003,55.15264597615751
Nursing and midwifery personnel  (number),2004,57.27516801188748
Nursing and midwifery personnel  (number),2005,55.44054574313599
Nursing and midwifery personnel  (number),2007,59.797597739578755
Nursing and midwifery personnel  (number),2008,61.61223869507953
Nursing and midwifery personnel  (number),2009,65.80156023099524
Nursing and midwifery personnel  (number),2010,64.85371427284905
Nursing and midwifery personnel  (number),2011,68.58093276147378
Nursing and midwifery personnel  (number),2012,65.38138979883603
Nursing and midwifery personnel  (number),2013,78.14044330372721
Nursing and midwifery personnel  (number),2014,80.42309727241003
Nursing and midwifery personnel  (number),2015,82.1808899845778
Nursing and midwifery personnel  (number),2016,84.70585255479382
Nursing and midwifery personnel  (number),2017,88.30445892855133
