X,Y,osm_id,osm_type,completeness,#loc+amenity,#meta+healthcare,#loc +name,#meta +operator,#geo+bounds+url,#meta +speciality,#meta +operator_type,#contact +phone,#status+operational_status,#access +hours,#capacity +beds,#capacity +staff,#meta +health_amenity_type,#meta+dispensing,#meta+wheelchair,#meta+emergency,#meta+insurance,#meta+water_source,#meta+electricity,#meta+is_in_health_area,#meta+is_in_health_zone,#contact +url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,#meta +id
105.6737804,-10.42050545,2119308067,node,25,pharmacy,pharmacy,Island Pharmacy and News,,survey,,,,,,,,,yes,,,,,,,,,,Gaze Road,6798,,113179046,3,2021/10/31 03:58:55+00,da1827a2f5144968abb84f3eff324b0e
105.6831891,-10.42539201,3751248046,node,28.125,hospital,hospital,Christmas Island Hospital,,,,,,,,,,,,yes,yes,,,,,,,33,Phosphate Hill Road,6798,,107733270,5,2021/07/10 04:16:30+00,c029e02332524d38b12a0bfff080dc65
113.5355264,-25.928611,6936753832,node,12.5,pharmacy,pharmacy,Shark Bay Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,76523631,2,2019/11/02 10:06:41+00,07f9ccf7cfd34838a0ccd949f3065eed
113.5358682,-25.92718356,6938721904,node,28.125,clinic,clinic,Shark Bay Health Centre,Silver Chain,,,,,,"Mo-Fr 09:00-12:30,13:30-16:00",,,,,,,,,,,,,53,Hughes Street,6537,,76530583,2,2019/11/02 15:27:53+00,92db2958c7474e8c93fecb8cd2d601a1
113.6563145,-24.88495534,7007532885,node,21.875,pharmacy,pharmacy,Pharmacy 777,,,,,,,Mo-Fr 08:00-19:00; Sa-Su 08:00-03:00,,,,,,,,,,,,,,Robinson Street,6701,,129841477,5,2022/12/08 02:04:16+00,6e7dd037e2b74f828e799c192e906c9e
113.6583592,-24.88255267,4546516289,node,9.375,doctors,,Carnarvon Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,142866542,2,2023/10/20 11:51:42+00,77d42a36a7684fa5a1f1868568385ceb
113.6584787,-24.88253683,4546516289,node,9.375,doctors,,Carnarvon Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,142866542,2,2023/10/20 11:51:42+00,77d42a36a7684fa5a1f1868568385ceb
113.6585386,-24.88247405,11277184591,node,6.25,,optometrist,,,,,,,,,,,,,,,,,,,,,,,,,142866542,1,2023/10/20 11:50:38+00,52b5279fb9394b76b4a51d463875a065
114.164043,-27.71122128,2291428382,node,12.5,pharmacy,pharmacy,Kalbarri Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,105231796,3,2021/05/24 13:57:07+00,033ffca33ac047c6b450f5c03c5ba2ff
114.6096604,-28.77345928,3751296259,node,15.625,pharmacy,pharmacy,Chemmart Superstore,,,,,,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,,,,105277906,4,2021/05/25 09:13:50+00,f05e29e741994a9e91eb67310b402f5e
114.6125643,-28.77067372,6934435392,node,12.5,clinic,clinic,centrelink medicare,,,,,,,,,,,,,,,,,,,,,,,,76439695,1,2019/10/31 10:00:58+00,722bd632ff354cfa82a4a17503c1dc66
114.6277178,-28.72256998,8517739264,node,25,clinic,,Sunset Skin Cancer and Medical Clinic,,,,,,,"Mo-Th 07:30-12:00,12:30-15:00; Fr 07:30-12:00; PH off",,,,,,,,,,,,,582,Chapman Road,6530,Geraldton,109291637,3,2021/08/07 04:02:53+00,23be53cbdb294814bb7f42114e945c12
115.0414587,-30.30309232,6950604245,node,12.5,pharmacy,pharmacy,Jurien Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,108953582,2,2021/07/31 18:31:25+00,21e1dd843a0f4bd3b101c99b74c4e472
115.0436039,-30.30516844,6953740170,node,15.625,doctors,doctor,Jurien Bay Medical Centre,,,,,,,"Mo-Fr 08:00-17:00,Sa 08:00-13:00",,,,,,,,,,,,,,,,,122863622,3,2022/06/26 11:07:54+00,81febf04b2c94611a4373421504cab0b
115.0440532,-30.30540514,6953219913,node,28.125,clinic,clinic,Jurien Bay Health Centre,,,,,,,24-Jul,,,,,,yes,,,,,,,23,Whitfield Road,6516,,76746517,2,2019/11/07 10:12:15+00,1a8fec031fdf4417937baa87702cb57f
115.066037,-30.50397813,282895345,node,9.375,hospital,,Cervantes Health Centre,,,,,,,,,,,,,,,,,,,,,,,,18546002,3,2013/10/26 02:32:04+00,07376b770a334236989788a308aa6d62
115.0711602,-33.95216217,1304645906,node,31.25,hospital,,Margaret River District Hospital,,,,,,,24-Jul,,,,,yes,yes,,,,,,,17,Farrelly Street,6285,Margaret River,100956916,6,2021/03/13 15:04:54+00,6b9c442359bc47539e9ce8f40d2b07ae
115.0731687,-33.95260046,3081150923,node,18.75,doctors,doctor,Margaret River Medical Centre,,local_knowledge,,,,,"Mo,We,Fr 08:00-16:00; Th 08:00-19:30; Sa 09:00-13:30",,,,,,,,,,,,,,,,,115528020,4,2021/12/29 16:27:51+00,321ea57eb3f34da9a3bb2f22bef0872d
115.0732951,-33.95239812,1823938499,node,21.875,pharmacy,pharmacy,Priceline Pharmacy,,,,,,,Mo-Su 08:00-18:00,,,,yes,yes,,,,,,,,,,,,115528020,6,2021/12/29 16:27:51+00,453f0f2b150742bf879cade4f85fb706
115.0743975,-33.9490161,687545428,node,18.75,pharmacy,pharmacy,Pharmacy 777,,,,,,,,,,,yes,yes,,,,,,,,,,,,108954734,4,2021/07/31 19:15:45+00,5026ce509415428090147b68aefe7133
115.102859,-33.85074726,1431986114,node,15.625,pharmacy,pharmacy,Cowaramup Pharmacy,,,,,,,Mo-Fr 08:30-17:30; Sa 08:30-14:00; Su 09:00-12:00,,,,,,,,,,,,,,,,,108954419,3,2021/07/31 19:03:18+00,3ecd892644d64e819522c2265dabdbdb
115.1596106,-34.31520025,1821328941,node,15.625,pharmacy,pharmacy,Augusta Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,78948087,2,2019/12/28 05:44:34+00,d68f81b0889345608299ed99cdb8137b
115.3297084,-31.01344831,7024842585,node,9.375,doctors,,Lancelin Medical Center,,,,,,,,,,,,,,,,,,,,,,,,77796274,1,2019/12/02 02:51:49+00,bf34ae9051b645858a9501db827d2988
115.342613,-33.65122921,6986992272,node,12.5,pharmacy,pharmacy,friendlies,,,,,,,,,,,,,,,,,,,,,,,,108954327,2,2021/07/31 19:00:15+00,22c5d52ae8274e148405e498c9836663
115.5845835,-31.49569457,7469360479,node,25,,alternative,Two Rocks and Yanchep Chiropractor,Coastal Family Wellness,,chiropractic,,,,,,,,,,,,,,,,,10,Enterprise Avenue,6037,,84450878,1,2020/05/01 05:18:23+00,26bc068c87ac4ec09f9fc6255136e9ef
