X,Y,osm_id,osm_type,completeness,#loc+amenity,#meta+healthcare,#loc +name,#meta +operator,#geo+bounds+url,#meta +speciality,#meta +operator_type,#contact +phone,#status+operational_status,#access +hours,#capacity +beds,#capacity +staff,#meta +health_amenity_type,#meta+dispensing,#meta+wheelchair,#meta+emergency,#meta+insurance,#meta+water_source,#meta+electricity,#meta+is_in_health_area,#meta+is_in_health_zone,#contact +url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,#meta +id
151.7234155,-32.92349243,3774454657,node,15.625,clinic,clinic,Marie Stopes Newcastle,,,abortion,,,,,,,,,,,,,,,,,,,,,80574096,2,2020/02/05 07:59:10+00,16f1bd30d9e4440dab503e3885b1ee54
144.9861855,-37.81596103,5499997872,node,15.625,clinic,clinic,Fertility Control Clinic,,,abortion;pap_smears;sti_testing;vasectomy;contraception,,,,,,,,,,,,,,,,,,,,,57472720,1,2018/03/23 23:59:48+00,3266fcb6e2e640b383b094d591b054b8
144.9520424,-37.80502977,7875128533,node,31.25,clinic,alternative,Melbourne Natural Wellness,,,acupuncture;chiropractic;naturopathy;traditional_chinese_medicine;homeopathy,,,,Mo-Fr 08:30-18:00; Tu-Th 08:30-19:00; Sa 09:00-17:00,,,,,,,,,,,,,49,Chetwynd Street,3051,North Melbourne,143759481,3,2023/11/08 01:23:40+00,53a773a2b9b247b8b5b48ac6c4fdd4be
144.9520424,-37.80502977,7875128533,node,31.25,clinic,alternative,Melbourne Natural Wellness,,,acupuncture;chiropractic;naturopathy;traditional_chinese_medicine;homeopathy,,,,Mo-Fr 08:30-18:00; Tu-Th 08:30-19:00; Sa 09:00-17:00,,,,,,,,,,,,,49,Chetwynd Street,3051,North Melbourne,143759481,3,2023/11/08 01:23:40+00,53a773a2b9b247b8b5b48ac6c4fdd4be
138.5354405,-34.88145162,4999152825,node,15.625,clinic,clinic,Adelaide MRI,,,Adelaide MRI,,,,,,,,,,,,,,,,,,,,,99566118,2,2021/02/19 06:04:52+00,1d0bfc9276c24a44a5e70cf9a1cbf788
145.26563,-38.10268658,9204627695,node,25,clinic,clinic,National Peke Center,,,autism,,,,,,,,,,,,,,,,,95,Monahans Road,3977,,117749022,3,2022/02/23 01:37:57+00,14564de0474a4a029b66779c9b37f56d
,,76159808,way,15.625,clinic,clinic,Salisbury House Medical & Dental Centre,,,bulk_billing;general;dentistry,,,,,,,,,,,,,,,,,,,,,76623560,2,2019/11/05 05:24:43+00,7eebf22547ab44caa448e32c0ccf1c62
150.9215534,-31.07692572,10274046633,node,21.875,clinic,clinic,Tamworth Heart Clinic,,,cardiology,,,,,,,,,,,,,,,,,40,Piper Street,,,143775252,3,2023/11/08 11:19:01+00,2d1d0bc37c874065a3138e3d0397f27c
153.3939731,-28.00789505,3998436128,node,15.625,clinic,clinic,The Cardiac Center,,,cardiology,,,,,,,,,,,,,,,,,,,,,142642722,3,2023/10/16 03:40:08+00,5ac6d3c756b34be8bd6fa3fd994d14d7
153.2577424,-27.78594963,9787080163,node,18.75,clinic,clinic,Pacific Cardiology &Specialist Centre,,,cardiology,,,,Mo-Fr 08:00-17:00; PH off,,,,,,,,,,,,,,,,,121788541,1,2022/06/01 00:23:14+00,d7472e08ca8d48b8adbc48a1422046ca
144.9552328,-37.80028201,6734350480,node,34.375,clinic,clinic,Melbourne Cardiology Services,Melbourne Cardiology Services,,cardiology,business,,,Mo-Fr 09:00-17:00,,,,,,,,,,,,,33,Flemington Road,3051,,73604522,1,2019/08/22 05:06:57+00,cbcf2239bd3a417fa891edfa3b7add95
153.2927726,-27.81345711,9787115085,node,18.75,clinic,clinic,Allied Health Place,,,child_psychiatry;psychiatry,,,,Mo-Fr 08:30-17:00; PH off,,,,,,,,,,,,,,,,,121790467,1,2022/06/01 03:18:17+00,e0d70c321efd449bb091ee272d7b9902
140.7727188,-36.30879711,5177472975,node,18.75,clinic,clinic,,,,chiropractic,,,,,,,,,,,,,,,,,57,Crocker Street,,,143179560,3,2023/10/26 20:24:03+00,f464d2497c6249c8826837b295cef0e8
,,376065623,way,25,clinic,clinic,Healing Wave Chiropractic,,,chiropractic,,,,,,,,,,,,,,,,,77A,Hanbury Street,2304,,94170538,3,2020/11/16 00:43:11+00,d0a9179182a1431f8bd7595653a32ed8
149.0716959,-35.23776163,7003503076,node,15.625,clinic,clinic,Belconnen Chiropractic Centre,,,chiropractic,,,,,,,,,,,,,,,,,,,,,142847840,2,2023/10/20 04:09:07+00,a5a6a66e8be14e1abfb59cf133ee24ab
149.0716959,-35.23776163,7003503076,node,15.625,clinic,clinic,Belconnen Chiropractic Centre,,,chiropractic,,,,,,,,,,,,,,,,,,,,,142847840,2,2023/10/20 04:09:07+00,a5a6a66e8be14e1abfb59cf133ee24ab
140.7727188,-36.30879711,5177472975,node,15.625,clinic,,,,,chiropractic,,,,,,,,,,,,,,,,,57,Crocker Street,,,143179560,3,2023/10/26 20:24:03+00,f464d2497c6249c8826837b295cef0e8
,,1016997873,way,15.625,clinic,clinic,Harmonie Medical Clinic,,,chiropractic;physiatry;psychiatry;paediatrics,,,,,,,,,,,,,,,,,,,,,115585256,2,2021/12/30 22:34:44+00,125e51e7b2964388957dfa1ac8e7ea25
